Workload,Prefetcher,Cycles,mshr_full,prefetch_requested,prefetch_issued,l1D_prefetch_useful,l1D_prefetch_useless,l1D_prefetch_late,l1d_load_miss,l2_prefetch_useful,l2_prefetch_useless,llc_load_miss,PQ_FULL,PQ_MERGED
mcf_s-665B,bingo,269120272,7659693,6507068,6507068,1781189,2357376,56831,5315917,0,0,628739,0,789
xalancbmk_s-202B,bingo,113692431,308787,5036520,5036520,4409861,206503,77290,2014361,0,0,464306,0,68
fotonik3d_s-10881B,bingo,335055007,145664766,3280926,3280926,1974494,722145,350775,7248993,0,0,2392979,0,4186
gcc_s-2226B,bingo,226792747,110354952,4808130,4808130,3509844,576583,2563699,54449399,0,0,10490779,0,5
pop2_s-17B,bingo,81018501,9080368,2565473,2565473,1538180,201459,147237,2167757,0,0,84220,0,5384
bwaves_s-1740B,bingo,141482999,31907166,3184110,3184110,2890343,24936,348634,3573067,0,0,958146,0,7221
fotonik3d_s-8225B,bingo,109456080,121282,2555812,2555812,2459439,14525,707167,6032058,0,0,124125,0,921
cam4_s-490B,bingo,93569870,16866078,2193940,2193940,1833601,72221,228932,4111622,0,0,192867,0,16
roms_s-294B,bingo,79179932,2688244,3721508,3721508,2448192,485012,89746,1721791,0,0,190832,0,8007
roms_s-523B,gaze_bingo,250440772,64038073,5216362,5216362,2444716,261101,720922,13429984,72514,181688,729329,0,81055
cactuBSSN_s-3477B,gaze_bingo,81311219,22595507,5339999,5339999,695405,989763,127156,17112486,0,0,330164,0,218828
gcc_s-734B,gaze_bingo,104602448,161197,6643860,6643860,3061800,282888,6507,431252,570,51694,63462,0,14120
mcf_s-1536B,gaze_bingo,551095367,19067004,12491795,12491795,3168916,6932474,436422,17182789,0,0,4995909,0,20863
bwaves_s-2609B,gaze_bingo,122258278,17624471,8008615,8008615,3052389,20998,200482,2568381,91796,6713,707296,0,61518
omnetpp_s-141B,gaze_bingo,405135985,2904318,8240066,8240066,1456868,4697424,120241,4306491,0,0,1212020,0,60695
xalancbmk_s-10B,gaze_bingo,350842467,6674078,9256972,9256972,1308509,4183067,165134,8886273,14878,354205,3649781,0,604665
lbm_s-2676B,gaze_bingo,410793681,426138503,1214757,1214757,946481,0,205863,1942418,159,47,147918,0,84617
gcc_s-1850B,gaze_bingo,126264464,421530,12068635,12068635,4386550,352730,157221,1738981,14234,118891,214419,0,69418
mcf_s-665B,gaze_bingo,269606486,4701323,8606111,8606111,1842596,2558939,36698,5081394,7315,12974,613275,0,17518
xalancbmk_s-202B,gaze_bingo,102621645,113423,10235662,10235662,4687251,298751,40796,1131093,17615,9589,240971,0,112886
fotonik3d_s-10881B,gaze_bingo,357009584,135118959,6498228,6498228,2368714,1049477,452000,6654077,866,363472,2141694,0,262740
gcc_s-2226B,gaze_bingo,226409179,106601697,7517645,7517645,3668496,650146,2683457,54183142,337853,331650,9988874,0,519643
pop2_s-17B,gaze_bingo,79628160,8662390,4462908,4462908,1611571,435602,129505,1953068,20935,103029,60481,0,52357
bwaves_s-1740B,gaze_bingo,121582176,17058893,7973884,7973884,3076294,21113,207033,2523455,87989,8485,689051,0,60660
fotonik3d_s-8225B,gaze_bingo,103570270,73963,5898257,5898257,2375097,16489,569435,5554232,364218,9385,156737,0,177001
cam4_s-490B,gaze_bingo,93501912,16852492,4707066,4707066,1832698,98101,210820,4113578,30704,12670,191975,0,82824
roms_s-294B,gaze_bingo,76336976,1858243,7849379,7849379,2524594,534099,69515,1468963,812,462288,175265,0,27349
